,secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
952,000001.ZICN,2018-11-28,000001,1.0509,2601.7365,17.6194,0.269,1.5467,2595.4286,2632.5294,2636.3141,2658.8725,2749.7163,-12.4186,-11.196,-4.9867,1.232,2.3321,11.3532,40.4555,45.4594,1.19578491709e+11,14596347300,78.9509,2019-01-23 15:21:34
953,000001.ZICN,2018-11-29,000001,-1.3181,2567.4434,88.4409,0.7392,0.8737,2579.8305,2622.4567,2634.3744,2655.5083,2745.16,-15.0724,-14.407,-6.8708,1.217,2.2842,11.2147,40.1913,40.4846,1.29472448038e+11,15716873800,9.6102,2019-01-23 15:21:34
954,000001.ZICN,2018-11-30,000001,0.808,2588.1875,27.8039,0.403,0.7388,2581.5713,2613.3645,2629.96,2653.0159,2740.7684,-13.1726,-15.1037,-8.5173,1.2306,2.2983,11.3461,40.4055,44.4931,1.12219827151e+11,13932902100,66.6219,2019-01-23 15:21:34
955,000001.ZICN,2018-12-03,000001,2.5736,2654.798,1.0745,0.0,2.0819,2597.3689,2608.4932,2629.4283,2651.8417,2736.9792,-2.6342,-10.1637,-8.8466,1.2612,2.3693,11.6283,40.8962,55.0889,1.87831789136e+11,20747895500,98.321,2019-01-23 15:21:34
956,000001.ZICN,2018-12-04,000001,0.4204,2665.9577,24.1101,0.0,1.2089,2615.6246,2610.5035,2629.7584,2650.9287,2733.6359,5.6948,-5.2874,-8.1348,1.2661,2.3905,11.6732,41.3409,56.603,1.44143399996e+11,16794055800,69.0396,2019-01-23 15:21:34
957,000001.ZICN,2018-12-05,000001,-0.6059,2649.8051,75.0168,0.8059,0.8731,2625.2383,2610.3334,2630.1816,2649.2491,2730.2778,8.7035,-2.6951,-7.0468,1.2582,2.3725,11.6003,40.888,53.7422,1.33730209026e+11,15450205600,22.0954,2019-01-23 15:21:34
958,000001.ZICN,2018-12-06,000001,-1.684,2605.1813,85.8966,0.6716,0.403,2632.7859,2606.3082,2628.659,2647.5965,2726.3226,4.5659,-4.1932,-6.4761,1.2373,2.3407,11.408,40.8896,46.6382,1.29092979688e+11,14166165000,12.3573,2019-01-23 15:21:34
959,000001.ZICN,2018-12-07,000001,0.0271,2605.8876,42.1088,0.403,0.6716,2636.3259,2608.9486,2629.0098,2646.1681,2722.6234,1.9414,-5.2627,-6.2334,1.2377,2.3325,11.4109,40.749,46.7597,97727662644.0,10907499300,50.7723,2019-01-23 15:21:34
960,000001.ZICN,2018-12-10,000001,-0.8176,2584.5822,75.6212,0.3358,0.4701,2622.2828,2609.8258,2626.713,2644.2061,2718.7936,-2.411,-7.7403,-6.5348,1.2274,2.3098,11.3165,40.2355,43.5,99148142973.0,11319966900,21.6253,2019-01-23 15:21:34
961,000001.ZICN,2018-12-11,000001,0.3678,2594.0881,24.1773,0.5373,1.0074,2607.9089,2611.7667,2623.6734,2642.9495,2715.2284,-3.6802,-8.8349,-6.9948,1.2316,2.3265,11.3555,40.5348,45.3542,85404123352.0,10130436400,69.0396,2019-01-23 15:21:34
962,000001.ZICN,2018-12-12,000001,0.3109,2602.1526,41.773,0.4701,0.2686,2598.3784,2611.8084,2622.1689,2641.9054,2712.6812,-3.1259,-8.9485,-7.3856,1.236,2.3295,11.3953,40.5391,46.965,88998195762.0,10351830100,48.2874,2019-01-23 15:21:34
963,000001.ZICN,2018-12-13,000001,1.2258,2634.0491,15.4362,0.1342,0.5369,2604.1519,2618.4689,2620.4628,2641.5377,2710.3339,1.5912,-6.3911,-7.1867,1.2516,2.3531,11.5391,40.8788,52.9493,1.32396107017e+11,15073811500,78.7919,2019-01-23 15:21:34
964,000001.ZICN,2018-12-14,000001,-1.5303,2593.7407,90.7383,0.3356,0.4698,2601.7225,2619.0242,2616.1944,2639.9904,2707.9833,-0.5494,-7.53,-7.2553,1.2325,2.2976,11.3638,39.8035,45.8214,1.23724985208e+11,14594248800,7.3154,2019-01-23 15:21:34
965,000001.ZICN,2018-12-17,000001,0.1632,2597.9737,46.9799,0.2013,0.8054,2604.4008,2613.3418,2610.9175,2638.5959,2705.5517,-1.1897,-7.9989,-7.404,1.2349,2.3012,11.3858,39.8763,46.6443,1.02960848538e+11,11736325000,47.1812,2019-01-23 15:21:34
966,000001.ZICN,2018-12-18,000001,-0.8208,2576.6495,69.1946,0.0,0.5369,2600.9131,2604.411,2607.4572,2637.3436,2703.196,-4.1154,-9.9762,-7.9185,1.2248,2.2914,11.2921,39.6567,43.051,99306536449.0,11703337000,25.7718,2019-01-23 15:21:34
967,000001.ZICN,2018-12-19,000001,-1.0512,2549.5634,80.8725,0.2013,0.604,2590.3953,2594.3868,2602.3601,2634.8372,2700.7381,-9.0462,-13.5723,-9.0492,1.2122,2.272,11.1763,39.2009,38.8987,93713175030.0,10766179700,14.8322,2019-01-23 15:21:34
968,000001.ZICN,2018-12-20,000001,-0.5215,2536.2675,35.3691,0.2685,0.8725,2570.839,2587.4954,2596.9018,2631.5941,2698.4305,-13.1945,-17.2958,-10.6986,1.2044,2.2775,11.104,39.3923,36.9883,1.0350498275e+11,12056649600,57.7181,2019-01-23 15:21:34
969,000001.ZICN,2018-12-21,000001,-0.7892,2516.2506,70.4698,0.604,0.2685,2555.3409,2578.5317,2593.7402,2628.0442,2696.1752,-17.4627,-21.6128,-12.8814,1.1944,2.2632,11.0121,39.0491,34.2275,1.01360622819e+11,11567120000,23.7584,2019-01-23 15:21:34
